location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,isMobile,isMonitor,owner_name,provider
4889110,"G3 Engineering Consultancy, Hyderabad","pm1",9.17158337434133,"µg/m³","2025-06-30T04:00:00Z","2025-06-30T09:00:00+05:00","Asia/Karachi",25.385742,68.352781,,,,"The Urban Unit","AirGradient"
4889110,"G3 Engineering Consultancy, Hyderabad","pm1",6.55091655254364,"µg/m³","2025-06-30T05:00:00Z","2025-06-30T10:00:00+05:00","Asia/Karachi",25.385742,68.352781,,,,"The Urban Unit","AirGradient"
4889110,"G3 Engineering Consultancy, Hyderabad","pm1",5.203736066818237,"µg/m³","2025-06-30T06:00:00Z","2025-06-30T11:00:00+05:00","Asia/Karachi",25.385742,68.352781,,,,"The Urban Unit","AirGradient"
4889110,"G3 Engineering Consultancy, Hyderabad","pm1",4.844500044981639,"µg/m³","2025-06-30T07:00:00Z","2025-06-30T12:00:00+05:00","Asia/Karachi",25.385742,68.352781,,,,"The Urban Unit","AirGradient"
4889110,"G3 Engineering Consultancy, Hyderabad","pm1",5.9119166533152265,"µg/m³","2025-06-30T08:00:00Z","2025-06-30T13:00:00+05:00","Asia/Karachi",25.385742,68.352781,,,,"The Urban Unit","AirGradient"
4889110,"G3 Engineering Consultancy, Hyderabad","pm1",6.3586249351501465,"µg/m³","2025-06-30T09:00:00Z","2025-06-30T14:00:00+05:00","Asia/Karachi",25.385742,68.352781,,,,"The Urban Unit","AirGradient"
4889110,"G3 Engineering Consultancy, Hyderabad","pm1",7.183583339055379,"µg/m³","2025-06-30T10:00:00Z","2025-06-30T15:00:00+05:00","Asia/Karachi",25.385742,68.352781,,,,"The Urban Unit","AirGradient"
4889110,"G3 Engineering Consultancy, Hyderabad","pm1",9.206666707992554,"µg/m³","2025-06-30T11:00:00Z","2025-06-30T16:00:00+05:00","Asia/Karachi",25.385742,68.352781,,,,"The Urban Unit","AirGradient"
4889110,"G3 Engineering Consultancy, Hyderabad","pm1",18.58466672897339,"µg/m³","2025-06-30T12:00:00Z","2025-06-30T17:00:00+05:00","Asia/Karachi",25.385742,68.352781,,,,"The Urban Unit","AirGradient"
4889110,"G3 Engineering Consultancy, Hyderabad","pm1",20.205666383107502,"µg/m³","2025-06-30T13:00:00Z","2025-06-30T18:00:00+05:00","Asia/Karachi",25.385742,68.352781,,,,"The Urban Unit","AirGradient"
4889110,"G3 Engineering Consultancy, Hyderabad","pm1",17.643916606903076,"µg/m³","2025-06-30T14:00:00Z","2025-06-30T19:00:00+05:00","Asia/Karachi",25.385742,68.352781,,,,"The Urban Unit","AirGradient"
4889110,"G3 Engineering Consultancy, Hyderabad","pm1",18.214222378200954,"µg/m³","2025-06-30T15:00:00Z","2025-06-30T20:00:00+05:00","Asia/Karachi",25.385742,68.352781,,,,"The Urban Unit","AirGradient"
4889110,"G3 Engineering Consultancy, Hyderabad","pm1",18.731500307718914,"µg/m³","2025-06-30T16:00:00Z","2025-06-30T21:00:00+05:00","Asia/Karachi",25.385742,68.352781,,,,"The Urban Unit","AirGradient"
4889110,"G3 Engineering Consultancy, Hyderabad","pm1",14.82016658782959,"µg/m³","2025-06-30T17:00:00Z","2025-06-30T22:00:00+05:00","Asia/Karachi",25.385742,68.352781,,,,"The Urban Unit","AirGradient"
4889110,"G3 Engineering Consultancy, Hyderabad","pm1",11.066333293914795,"µg/m³","2025-06-30T18:00:00Z","2025-06-30T23:00:00+05:00","Asia/Karachi",25.385742,68.352781,,,,"The Urban Unit","AirGradient"
4889110,"G3 Engineering Consultancy, Hyderabad","pm1",9.529625018437704,"µg/m³","2025-06-30T19:00:00Z","2025-07-01T00:00:00+05:00","Asia/Karachi",25.385742,68.352781,,,,"The Urban Unit","AirGradient"
4889110,"G3 Engineering Consultancy, Hyderabad","pm1",9.41128580910819,"µg/m³","2025-06-30T20:00:00Z","2025-07-01T01:00:00+05:00","Asia/Karachi",25.385742,68.352781,,,,"The Urban Unit","AirGradient"
4889110,"G3 Engineering Consultancy, Hyderabad","pm1",8.786916693051657,"µg/m³","2025-06-30T21:00:00Z","2025-07-01T02:00:00+05:00","Asia/Karachi",25.385742,68.352781,,,,"The Urban Unit","AirGradient"
4889110,"G3 Engineering Consultancy, Hyderabad","pm1",8.785708347956339,"µg/m³","2025-06-30T22:00:00Z","2025-07-01T03:00:00+05:00","Asia/Karachi",25.385742,68.352781,,,,"The Urban Unit","AirGradient"
4889110,"G3 Engineering Consultancy, Hyderabad","pm1",7.88337500890096,"µg/m³","2025-06-30T23:00:00Z","2025-07-01T04:00:00+05:00","Asia/Karachi",25.385742,68.352781,,,,"The Urban Unit","AirGradient"
4889110,"G3 Engineering Consultancy, Hyderabad","pm1",7.7882083257039385,"µg/m³","2025-07-01T00:00:00Z","2025-07-01T05:00:00+05:00","Asia/Karachi",25.385742,68.352781,,,,"The Urban Unit","AirGradient"
4889110,"G3 Engineering Consultancy, Hyderabad","pm1",8.962833325068155,"µg/m³","2025-07-01T01:00:00Z","2025-07-01T06:00:00+05:00","Asia/Karachi",25.385742,68.352781,,,,"The Urban Unit","AirGradient"
4889110,"G3 Engineering Consultancy, Hyderabad","pm1",10.527541716893515,"µg/m³","2025-07-01T02:00:00Z","2025-07-01T07:00:00+05:00","Asia/Karachi",25.385742,68.352781,,,,"The Urban Unit","AirGradient"
4889110,"G3 Engineering Consultancy, Hyderabad","pm1",12.953874826431274,"µg/m³","2025-07-01T03:00:00Z","2025-07-01T08:00:00+05:00","Asia/Karachi",25.385742,68.352781,,,,"The Urban Unit","AirGradient"
